Material Index,Materials Difficulty,Questions Numbers,Topics
1082,-0.7899999999999999,1,0
1083,-1.9,1,0
1084,2.16,3,2
1085,-0.7799999999999999,1,4
1086,1.06,2,4
1087,-1.89,1,0
1088,-0.7699999999999999,1,4
1089,-2.59,1,2
1090,0.3500000000000001,1,4
1091,1.07,2,0
1092,1.08,2,4
1093,-1.88,1,1
1094,2.17,3,4
1095,2.18,3,4
1096,-0.7599999999999999,1,1
1097,2.19,3,0
1098,3.1,4,2
1099,0.3600000000000001,1,4
1100,2.2,3,4
1101,2.21,3,4
1102,-2.58,1,2
1103,3.11,6,4
1104,-2.57,1,4
1105,2.22,3,4
1106,-2.56,1,1
1107,3.12,4,3
1108,2.23,3,4
1109,2.24,3,1
1110,-2.55,1,1
1111,-2.54,1,2
1112,-0.75,1,2
1113,-0.74,1,2
1114,-0.73,1,0
1115,-2.53,1,0
1116,3.13,3,0
1117,-1.87,1,2
1118,1.09,2,1
1119,-2.52,1,3
1120,0.3700000000000001,1,3
1121,2.25,4,4
1122,-2.51,1,1
1123,3.14,5,1
1124,2.26,4,0
1125,2.27,3,1
1126,-1.86,1,4
1127,0.3800000000000001,1,1
1128,-0.72,1,0
1129,2.28,3,3
1130,0.3900000000000002,1,0
1131,2.29,3,3
1132,0.4000000000000002,1,1
1133,1.1,2,2
1134,0.4100000000000002,1,3
1135,3.15,3,3
1136,3.16,4,1
1137,-0.71,1,0
1138,0.4200000000000002,1,3
1139,0.4300000000000002,1,0
1140,-0.7,1,2
1141,-3.0,1,4
1142,0.4400000000000002,1,0
1143,-2.99,1,4
1144,-1.85,1,0
1145,-2.98,1,4
1146,1.11,2,1
1147,-0.69,1,2
1148,2.3000000000000003,3,4
1149,2.31,3,4
1150,0.4500000000000002,1,2
1151,3.17,1,2
1152,1.12,2,4
1153,3.18,4,2
1154,3.19,4,3
1155,-0.6799999999999999,1,4
1156,-2.97,1,4
1157,3.2,4,4
1158,-0.6699999999999999,1,0
1159,-1.84,1,0
1160,1.13,2,0
1161,3.21,4,4
1162,1.14,2,1
1163,3.22,4,0
1164,0.4600000000000002,1,0
1165,2.3200000000000003,3,3
1166,3.23,4,4
1167,-0.6599999999999999,1,0
